epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.964,1.53867,4.21102,1.54808,0.00669,0.35556,0.06368,0.01544,1.33451,4.33203,1.38565,7.497e-05,7.497e-05,7.497e-05
2,139.893,1.31012,3.58252,1.23619,0.00981,0.4,0.22544,0.17195,1.12871,3.94925,1.00078,0.000155136,0.000155136,0.000155136
3,192.309,1.2298,2.63679,1.18675,0.01337,0.4,0.29557,0.2452,1.05809,3.82513,0.98465,0.000232004,0.000232004,0.000232004
4,251.024,1.21984,2.05153,1.19453,0.02319,0.46111,0.2153,0.17491,1.05445,3.67601,0.97696,0.000305573,0.000305573,0.000305573
5,311.128,1.17318,1.76792,1.13456,0.02046,0.53889,0.20601,0.16926,1.12548,3.67041,1.02348,0.000375843,0.000375843,0.000375843
6,393.649,1.18361,1.54624,1.14359,0.69282,0.19859,0.23279,0.16506,1.15216,3.59237,1.01537,0.000442814,0.000442814,0.000442814
7,457.244,1.1664,1.47479,1.13227,1,0.10182,0.30399,0.23566,1.16305,3.46028,1.00706,0.000506487,0.000506487,0.000506487
8,509.442,1.17177,1.3669,1.13304,0.99956,0.25896,0.33662,0.26951,1.13853,3.35214,1.00209,0.000566861,0.000566861,0.000566861
9,568.009,1.11099,1.24959,1.09045,0.83154,0.24186,0.32134,0.27083,1.11316,3.40054,1.00958,0.000623937,0.000623937,0.000623937
10,626.253,1.09959,1.24747,1.10579,0.80746,0.26634,0.44434,0.33712,1.15459,3.18415,1.03216,0.000677714,0.000677714,0.000677714
11,683.115,1.15255,1.22431,1.10703,0.8228,0.26584,0.48151,0.33978,1.17898,3.29875,1.02695,0.000668066,0.000668066,0.000668066
12,735.758,1.13158,1.25121,1.08941,0.63573,0.47249,0.53508,0.36549,1.122,3.14883,0.99201,0.000651573,0.000651573,0.000651573
13,789.964,1.07485,1.1541,1.08571,0.64462,0.45566,0.51531,0.35962,1.09752,2.88553,0.98826,0.000635079,0.000635079,0.000635079
14,844.226,1.05469,1.13613,1.07159,0.65244,0.40322,0.49426,0.34193,1.15088,3.10195,1.00985,0.000618586,0.000618586,0.000618586
15,897.607,1.0368,1.04101,1.04717,0.82463,0.42583,0.5048,0.34705,1.07012,2.85295,0.97526,0.000602092,0.000602092,0.000602092
16,955.178,1.05578,1.08021,1.07259,0.81962,0.45529,0.50924,0.33625,1.06786,2.80418,0.97509,0.000585599,0.000585599,0.000585599
17,1010.41,1.05483,1.05721,1.0378,0.62291,0.45604,0.50292,0.3591,1.11603,3.03844,0.96864,0.000569106,0.000569106,0.000569106
18,1059,1.04013,1.03102,1.04632,0.78104,0.43746,0.50747,0.37634,1.09829,2.99364,0.97445,0.000552612,0.000552612,0.000552612
19,1115.67,0.98317,1.01788,1.03459,0.79693,0.47987,0.52737,0.38264,1.04044,2.76226,0.96935,0.000536119,0.000536119,0.000536119
20,1185.23,1.01038,1.01164,1.03829,0.82132,0.47511,0.59033,0.39825,1.06029,2.9221,0.96323,0.000519625,0.000519625,0.000519625
21,1241.82,1.02068,0.97154,1.05047,0.62093,0.46667,0.54572,0.38704,1.06057,2.85676,0.95209,0.000503132,0.000503132,0.000503132
